Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
4inecs,3/8/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"Mostly sunny, with a high near 52. East wind around 3 mph."
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,,38.5997628,-121.5253351,"Sunny. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind around 5 mph."
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Palestinian Lana Ikelan and Israeli Noga Bar Oz,3/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"A slight chance of rain. Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South southwest wind around 5 mph. Chance of precipitation is 20%."
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"A slight chance of rain. Mostly cloudy, with a high near 52. South wind around 5 mph. Chance of precipitation is 20%."
The Wood Brothers,3/8/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,47.60719095,-122.32405377084555,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
X:The Life and Times of Malcolm X,Now through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"A slight chance of rain. Mostly cloudy, with a high near 52. South wind around 5 mph. Chance of precipitation is 20%."
Bach St. John Passion,Now through 3/9/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,Failed to retrieve weather data. Status code: 404
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,,-21.266983,55.4113864,Failed to retrieve weather data. Status code: 404
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,47.60719095,-122.32405377084555,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.668285600000004,-122.39177691452363,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 6 mph."
Luchadora!,Now through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,,47.6204553,-122.35225726215312,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Deseo Carmin,3/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South southwest wind around 5 mph."
Our Place in this World: Winter 2024 Concert,3/10/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Rhapsody in Shmaltz,3/10/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Short Stories Live: Through Someone Else’s Eyes,3/10/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Angie McMahon,3/11/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Crosses,3/11/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Dancing With The Stars,3/11/2024,The Paramount Theatre,Dance,Downtown,,40.8697559,-73.42561952873208,"Sunny, with a high near 51. Southeast wind around 5 mph."
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Black Uhuru,3/13/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"A chance of rain. Mostly cloudy. High near 52, with temperatures falling to around 50 in the afternoon. South southwest wind around 5 mph. Chance of precipitation is 30%."
Cat Power,3/13/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Cody Bartels,3/13/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
Eyedress,3/13/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Kendra Morris,3/13/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
My Dinner with SAM,3/13/2024,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Susannah Fox with Sally James,3/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Tim Berne Trio,3/13/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Cool Company,3/14/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
Replay Matinee: Roxanne Dunbar-Ortiz,3/14/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Taste Washington: Pacific Standard,3/14/2024,Pier 62,Festivals & Special Events,Downtown,,47.60853229999999,-122.34484275866666,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
"The Lord of the Rings, The Return of the King",3/14/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.668285600000004,-122.39177691452363,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 6 mph."
Tricia Romano: Voices of the Village,3/14/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Autoheart,3/15/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,Failed to retrieve weather data. Status code: 404
Benjamin Wurgaft and Merry White,3/15/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Drew Martin,3/15/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
Goose Vargis,3/15/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
MitiS,3/15/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. Southwest wind around 5 mph."
Shakey,3/15/2024,Slim's Last Chance,Music,South Seattle,,47.5524903,-122.33389967462686,"Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. Southwest wind around 5 mph."
Taste Washington: The New Vintage,3/15/2024,Pier 62,Festivals & Special Events,Downtown,,47.60853229999999,-122.34484275866666,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Taylor Rave,3/15/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Text Me Back Live,3/15/2024,Town Hall Seattle,Theatre,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Tuomo and Markus Concert,3/15/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.668285600000004,-122.39177691452363,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 6 mph."
Yuri,3/15/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Alvin Ailey American Dance Theater,3/15/2024 through 3/16/2024,The Paramount Theatre,Dance,Downtown,,40.8697559,-73.42561952873208,"Sunny, with a high near 51. Southeast wind around 5 mph."
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"Mostly cloudy. High near 56, with temperatures falling to around 54 in the afternoon. West southwest wind around 5 mph."
Heroes,3/16/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
I Sing the Salmon Home,3/16/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Matt Hansen,3/16/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Oneus,3/16/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Ricky Montgomery,3/16/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Taste Washington: The Seminars,3/16/2024,"Seattle, WA",Festivals & Special Events,Downtown,,47.6038321,-122.330062,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Warren Zeiders,3/16/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. Southwest wind around 5 mph."
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,47.2475134,-122.43680521780016,"Mostly cloudy. High near 54, with temperatures falling to around 52 in the afternoon. West wind around 3 mph."
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,47.2475134,-122.43680521780016,"Mostly cloudy. High near 54, with temperatures falling to around 52 in the afternoon. West wind around 3 mph."
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,,47.5982461,-122.3228705,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Seattle Jewish Film Festival,Now through 3/17/2024,"Seattle, WA",Festivals & Special Events,Downtown,,47.6038321,-122.330062,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Rootabaga Country,Now through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,,44.43358325,26.079138268508792,Failed to retrieve weather data. Status code: 404
Judith Hill – Letters from A Black Widow Tour,3/14/2024 through 3/17/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Festal: Irish Festival Seattle,3/16/2024 through 3/17/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,,47.621255,-122.34974101387942,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Taste Washington: The Grand Tasting,3/16/2024 through 3/17/2024,Lumen Field,Festivals & Special Events,Pioneer Square,,47.5953459,-122.33164431196111,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
BAS,3/17/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Brad Parsons,3/17/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
Journeys,3/17/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Rylan Fischer,3/17/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
Umphrey’s McGee,3/17/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
’68,3/18/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"Mostly sunny, with a high near 52. East wind around 3 mph."
Clarence Moriwaki,3/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Jimmy Chamberlin Complex,3/18/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Taste Washington: No Frills,3/18/2024,"Seattle, WA",Festivals & Special Events,Downtown,,47.6038321,-122.330062,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Ana Tijoux,3/19/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Brad Gooch: The Life and Line of Keith Haring,3/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Darkest Hour,3/19/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,Failed to retrieve weather data. Status code: 404
Dragontail Peak,3/19/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
El Perro del Mar,3/19/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Letterkenny,3/19/2024,Showbox SoDo,Theatre,Pioneer Square,,47.5880461,-122.333928,"Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. Southwest wind around 5 mph."
